,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
31391,2002,1,6,7,1817.0,1755,2106.0,2012,US,781,N435äâ,169.0,137.0,127.0,54.0,22.0,PIT,MCO,834.0,5.0,37.0,0,,0,,,,,,YES,YES
29297,2001,1,24,3,716.0,720,832.0,841,US,426,N375äâ,76.0,81.0,61.0,-9.0,-4.0,CHS,DCA,444.0,5.0,10.0,0,,0,,,,,,NO,NO
29967,2001,1,17,3,758.0,800,1028.0,1007,US,445,N393äâ,150.0,127.0,105.0,21.0,-2.0,PHL,IND,587.0,8.0,37.0,0,,0,,,,,,YES,NO
27492,2000,1,6,4,1648.0,1645,1843.0,1853,DL,1629,N667DN,235.0,248.0,216.0,-10.0,3.0,CVG,PHX,1569.0,5.0,14.0,0,,0,,,,,,NO,YES
17146,1995,1,18,3,1402.0,1400,1508.0,1512,US,1635,N436US,66.0,72.0,51.0,-4.0,2.0,RDU,PHL,336.0,6.0,9.0,0,,0,,,,,,NO,YES
21636,1997,1,28,2,1850.0,1850,2038.0,2040,HP,2249,N311AW,108.0,110.0,92.0,-2.0,0.0,DEN,PHX,602.0,3.0,13.0,0,,0,,,,,,NO,NO
10883,1992,1,18,6,635.0,630,758.0,754,US,71,,83.0,84.0,,4.0,5.0,LGA,PIT,335.0,,,0,,0,,,,,,YES,YES
14297,1994,1,4,2,1206.0,1140,1335.0,1314,US,233,,89.0,94.0,,21.0,26.0,PHL,CLT,448.0,,,0,,0,,,,,,YES,YES
13575,1993,1,13,3,924.0,920,1744.0,1713,US,104,,320.0,293.0,,31.0,4.0,SFO,PIT,2254.0,,,0,,0,,,,,,YES,YES
17792,1995,1,1,7,1715.0,1716,2022.0,2025,TW,108,N912TW,127.0,129.0,98.0,-3.0,-1.0,STL,PHL,813.0,4.0,25.0,0,,0,,,,,,NO,NO
18415,1996,1,21,7,1525.0,1525,1829.0,1815,WN,1364,N670,244.0,230.0,227.0,14.0,0.0,BNA,PHX,1448.0,3.0,14.0,0,,0,,,,,,YES,NO
33498,2003,1,30,4,1324.0,1325,1640.0,1627,UA,1076,N802UA,136.0,122.0,99.0,13.0,-1.0,ORD,BTV,763.0,2.0,35.0,0,,0,,,,,,YES,NO
17743,1995,1,14,6,1307.0,1210,1522.0,1436,US,2199,N279AU,135.0,146.0,125.0,46.0,57.0,SRQ,PHL,956.0,3.0,7.0,0,,0,,,,,,YES,YES
42227,2008,1,3,4,1348.0,1330,1455.0,1435,WN,341,N315SW,67.0,65.0,51.0,20.0,18.0,LAS,SAN,258.0,2.0,14.0,0,,0,8.0,0.0,2.0,0.0,10.0,YES,YES
36801,2005,1,28,5,1918.0,1920,2025.0,2032,UA,569,N389UA,127.0,132.0,99.0,-7.0,-2.0,CLT,ORD,599.0,15.0,13.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
39565,2006,1,12,4,659.0,700,940.0,1021,US,679,N679AW,281.0,321.0,263.0,-41.0,-1.0,BWI,PHX,1999.0,6.0,12.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
37916,2005,1,26,3,629.0,635,859.0,920,UA,602,N801UA,90.0,105.0,76.0,-21.0,-6.0,ORD,DCA,612.0,5.0,9.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
34592,2004,1,21,3,1201.0,1205,1414.0,1417,UA,477,N418UA,253.0,252.0,233.0,-3.0,-4.0,ORD,SAN,1723.0,3.0,17.0,0,,0,0.0,0.0,0.0,0.0,0.0,NO,NO
24084,1999,1,31,7,836.0,810,942.0,920,US,1268,N575US,66.0,70.0,43.0,22.0,26.0,ROC,PHL,257.0,5.0,18.0,0,,0,,,,,,YES,YES
929,1987,10,25,7,1930.0,1925,2049.0,2038,PS,1497,,79.0,73.0,,11.0,5.0,SNA,OAK,371.0,,,0,,0,,,,,,YES,YES
