Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1995,1,12,4,1124,1111,1224,1224,US,2451,N920VJ,60,73,50,0,13,RDU,PHL,336,4,6,0,,0,,,,,,NO,YES
2008,1,3,4,1730,1620,2028,1920,WN,1484,N242WN,298,300,276,68,70,MCO,PHX,1848,8,14,0,,0,68,0,0,0,0,YES,YES
2003,1,6,1,1227,1230,1736,1749,UA,1084,N526UA,189,199,168,-13,-3,DEN,MCO,1545,4,17,0,,0,,,,,,NO,NO
1998,1,29,4,951,0,1112,0,AA,1001,N255AA,141,152,128,-10,1,DFW,PHX,868,2,11,0,,0,,,,,,NO,YES
2001,1,20,6,811,810,925,926,US,423,N740äæ,74,76,59,-1,1,CLT,JAX,329,4,11,0,,0,,,,,,NO,YES
1990,1,18,4,1501,1430,1746,1652,US,37,,345,322,,54,31,PIT,SFO,2254,,,0,,0,,,,,,YES,YES
1998,1,30,5,1355,1320,1540,1528,HP,261,N636AW,225,248,212,12,35,CMH,PHX,1671,4,9,0,,0,,,,,,YES,YES
2000,1,27,4,651,651,906,908,HP,2433,N314AW,75,77,58,-2,0,BUR,PHX,369,6,11,0,,0,,,,,,NO,NO
2007,1,2,2,2043,2045,2257,2315,WN,279,N606SW,194,210,182,-18,-2,BWI,HOU,1246,4,8,0,,0,0,0,0,0,0,NO,NO
1999,1,19,2,2330,2205,731,614,UA,34,N413UA,301,309,272,77,85,SFO,PHL,2521,4,25,0,,0,,,,,,YES,YES
1996,1,1,1,954,0,1115,0,AA,713,N494AA,141,155,121,-15,-1,DFW,PHX,868,6,14,0,,0,,,,,,NO,NO
2006,1,12,4,1622,1610,1807,1805,US,365,N622AU,105,115,88,2,12,CLT,FLL,631,4,13,0,,0,0,0,0,0,0,YES,YES
1995,1,31,2,1250,1245,1509,1517,US,531,N588US,139,152,126,-8,5,PBI,PHL,951,4,9,0,,0,,,,,,NO,YES
2008,1,3,4,1916,1850,2013,1950,WN,3746,N321SW,57,60,40,23,26,ONT,LAS,197,11,6,0,,0,3,0,0,0,20,YES,YES
1998,1,16,5,2113,2045,2257,2231,HP,2498,N149AW,104,106,91,26,28,DEN,PHX,602,5,8,0,,0,,,,,,YES,YES
1989,1,14,6,1154,1140,1540,1521,UA,193,,346,341,,19,14,LAX,HNL,2556,,,0,,0,,,,,,YES,YES
1987,10,8,4,1129,1129,1236,1225,PS,1490,,67,56,,11,0,SNA,LAS,226,,,0,,0,,,,,,YES,NO
1991,1,24,4,1317,1320,1428,1425,US,114,,71,65,,3,-3,PIT,SWF,328,,,0,,0,,,,,,YES,NO
2002,1,12,6,1859,1900,2038,2050,US,772,N618Aä,99,110,84,-12,-1,CLT,BDL,644,4,11,0,,0,,,,,,NO,NO
1990,1,22,1,1429,1425,1456,1452,US,55,,87,87,,4,4,TUS,LAX,451,,,0,,0,,,,,,YES,YES
1995,1,29,7,1525,1525,1623,1631,US,704,N916VJ,58,66,49,-8,0,ROC,PHL,257,5,4,0,,0,,,,,,NO,NO
2001,1,6,6,912,910,1016,951,US,425,N865äâ,124,101,76,25,2,PIT,BNA,462,7,41,0,,0,,,,,,YES,YES
1995,1,15,7,1305,1305,2124,2106,US,208,N606AU,319,301,289,18,0,SFO,PHL,2521,6,24,0,,0,,,,,,YES,NO
1994,1,28,5,1315,1315,1450,1435,US,256,,95,80,,15,0,CHS,DCA,444,,,0,,0,,,,,,YES,NO
2002,1,22,2,1304,1300,1516,1518,US,782,N422äâ,132,138,114,-2,4,MCO,PIT,834,7,11,0,,0,,,,,,NO,YES
1994,1,11,2,1607,1605,1641,1641,US,242,,94,96,,0,2,PIT,ORD,412,,,0,,0,,,,,,NO,YES
1994,1,29,6,805,800,909,918,US,246,,64,78,,-9,5,DCA,BUF,296,,,0,,0,,,,,,NO,YES
1996,1,8,1,853,848,1101,1055,HP,860,N626AW,248,247,221,6,5,CMH,PHX,1671,4,23,0,,0,,,,,,YES,YES
2004,1,10,6,1648,1610,2006,1943,UA,470,N504UA,138,153,118,23,38,ORD,MCO,1005,4,16,0,,0,22,0,0,0,1,YES,YES
1988,1,6,3,626,625,717,717,PS,1447,,51,52,,0,1,LAS,BUR,223,,,0,,0,,,,,,NO,YES
1994,1,21,5,936,920,1109,1103,US,273,,93,103,,6,16,LGA,CMH,478,,,0,,0,,,,,,YES,YES
2005,1,19,3,1924,1931,2039,2104,UA,560,N367UA,75,93,62,-25,-7,SAN,SFO,447,4,9,0,,0,0,0,0,0,0,NO,NO
2006,1,11,3,930,930,1347,1357,US,1297,N652US,197,207,179,-10,0,CLT,SJU,1474,5,13,0,,0,0,0,0,0,0,NO,NO
1997,1,27,1,2030,2030,2229,2236,DL,647,N989DL,239,246,225,-7,0,CVG,PHX,1569,4,10,0,,0,,,,,,NO,NO
1999,1,22,5,1730,1730,1856,1840,WN,1297,N660,86,70,57,16,0,ABQ,PHX,328,4,25,0,,0,,,,,,YES,NO
1992,1,5,7,1454,1455,1715,1707,US,78,,141,132,,8,-1,MCO,PIT,834,,,0,,0,,,,,,YES,NO
2001,1,12,5,2226,2230,2307,2313,US,402,N890äâ,41,43,24,-6,-4,CLT,FAY,118,3,14,0,,0,,,,,,NO,NO
2005,1,22,6,,2045,,2359,UA,544,0,,134,,,,ORD,BOS,867,0,0,1,B,0,0,0,0,0,0,YES,YES
1999,1,10,7,1929,1930,2150,2157,US,1454,N809US,141,147,124,-7,-1,TPA,PHL,920,6,11,0,,0,,,,,,NO,NO
1995,1,13,5,2138,2017,36,2321,TW,446,N54333,118,124,104,75,81,STL,PHL,813,3,11,0,,0,,,,,,YES,YES
1993,1,2,6,700,700,747,754,US,69,,47,54,,-7,0,DTW,PIT,201,,,0,,0,,,,,,NO,NO
2004,1,28,3,835,840,1354,1348,UA,490,N489UA,199,188,175,6,-5,DEN,IAD,1452,7,17,0,,0,0,0,0,0,0,YES,NO
1998,1,5,1,1100,1100,1313,1315,WN,1488,N617,73,75,57,-2,0,BUR,PHX,369,5,11,0,,0,,,,,,NO,NO
1998,1,27,2,1432,1435,1625,1623,UA,2763,N370UA,113,108,95,2,-3,DEN,PHX,602,3,15,0,,0,,,,,,YES,NO
2005,1,6,4,1544,1450,1742,1720,UA,575,N570UA,238,270,215,22,54,ORD,SEA,1721,4,19,0,,0,22,0,0,0,0,YES,YES
2002,1,19,6,1753,1715,1846,1754,US,797,N526Aä,113,99,88,52,38,CLT,PNS,488,4,21,0,,0,,,,,,YES,YES
2005,1,17,1,1257,1300,1418,1344,UA,575,N530UA,141,104,76,34,-3,PIT,ORD,412,8,57,0,,0,0,0,34,0,0,YES,NO
2007,1,2,2,1437,1420,1548,1535,WN,1629,N655WN,71,75,58,13,17,BWI,CMH,336,4,9,0,,0,0,0,0,0,0,YES,YES
2005,1,21,5,1350,1350,1559,1608,UA,570,N564UA,69,78,45,-9,0,ORD,CLE,316,6,18,0,,0,0,0,0,0,0,NO,NO
2008,1,3,4,649,645,911,905,WN,896,N223WN,142,140,127,6,4,PBI,BWI,883,5,10,0,,0,,,,,,YES,YES
1995,1,12,4,1251,1250,1532,1521,US,484,N417US,161,151,145,11,1,RSW,PHL,992,6,10,0,,0,,,,,,YES,YES
1992,1,7,2,1647,1640,1759,1745,US,66,,72,65,,14,7,PIT,SYR,279,,,0,,0,,,,,,YES,YES
2007,1,2,2,1622,1550,1934,1900,WN,1693,N364,132,130,117,34,32,AUS,TPA,928,5,10,0,,0,7,0,2,0,25,YES,YES
1997,1,7,2,700,700,758,810,WN,1609,N672,58,70,51,-12,0,ABQ,PHX,328,2,5,0,,0,,,,,,NO,NO
1997,1,31,5,1905,1850,2045,2040,HP,2249,N155AW,100,110,85,5,15,DEN,PHX,602,5,10,0,,0,,,,,,YES,YES
1989,1,23,1,842,842,1026,1042,UA,205,,224,240,,-16,0,IAH,SFO,1635,,,0,,0,,,,,,NO,NO
1987,10,6,2,1902,1845,2027,2005,PS,1480,,85,80,,22,17,SFO,SAN,447,,,0,,0,,,,,,YES,YES
2002,1,10,4,1856,1905,2020,2050,US,806,N444äâ,84,105,68,-30,-9,CLT,CLE,430,6,10,0,,0,,,,,,NO,NO
1998,1,24,6,1651,1655,1834,1841,HP,2840,N635AW,103,106,85,-7,-4,DEN,PHX,602,6,12,0,,0,,,,,,NO,NO
2002,1,28,1,1342,1345,1508,1511,US,765,N508Aä,86,86,62,-3,-3,BOS,PHL,280,4,20,0,,0,,,,,,NO,NO
1997,1,30,4,905,905,1104,1139,CO,1611,N17344,239,274,219,-35,0,CLE,PHX,1737,4,16,0,,0,,,,,,NO,NO
1992,1,4,6,1103,1105,1141,1148,US,81,,38,43,,-7,-2,CLE,PIT,105,,,0,,0,,,,,,NO,NO
1991,1,2,3,1354,1350,1538,1536,US,122,,104,106,,2,4,PBI,CLT,590,,,0,,0,,,,,,YES,YES
1997,1,2,4,925,925,1145,1140,WN,420,N634,80,75,58,5,0,BUR,PHX,369,3,19,0,,0,,,,,,YES,NO
2004,1,29,4,1637,1640,1954,2010,UA,508,N563UA,137,150,121,-16,-3,SEA,DEN,1024,6,10,0,,0,0,0,0,0,0,NO,NO
2008,1,3,4,829,830,918,920,WN,617,N507SW,49,50,35,-2,-1,SAT,HRL,233,2,12,0,,0,,,,,,NO,NO
1998,1,15,4,814,815,1000,1005,UA,2753,N920UA,106,110,89,-5,-1,DEN,PHX,602,3,14,0,,0,,,,,,NO,NO
1991,1,1,2,843,845,955,1007,US,145,,72,82,,-12,-2,BWI,FAY,313,,,0,,0,,,,,,NO,NO
1987,10,3,6,1450,1450,1605,1603,PS,1481,,75,73,,2,0,SNA,OAK,371,,,0,,0,,,,,,YES,NO
1991,1,30,3,900,905,1012,1024,US,143,,72,79,,-12,-5,EWR,BUF,282,,,0,,0,,,,,,NO,NO
2004,1,19,1,949,951,1131,1135,UA,482,N370UA,102,104,85,-4,-2,PHX,DEN,602,8,9,0,,0,0,0,0,0,0,NO,NO
1998,1,9,5,1603,0,1753,0,AA,1021,N259AA,170,167,132,1,-2,DFW,PHX,868,4,34,0,,0,,,,,,YES,NO
2001,1,30,2,1417,1420,1612,1601,US,408,N355äâ,175,161,155,11,-3,PIT,MSY,918,3,17,0,,0,,,,,,YES,NO
1993,1,29,5,920,920,1724,1713,US,104,,304,293,,11,0,SFO,PIT,2254,,,0,,0,,,,,,YES,NO
2006,1,11,3,844,845,1014,1008,US,877,N611AU,90,83,67,6,-1,BWI,CLT,361,3,20,0,,0,0,0,0,0,0,YES,NO
2006,1,12,4,1744,1745,,2000,US,83,N103UW,,315,,,-1,CLT,SAN,2077,0,12,0,,1,0,0,0,0,0,YES,NO
1990,1,13,6,1333,1335,1452,1453,US,50,,79,78,,-1,-2,CLE,LGA,418,,,0,,0,,,,,,NO,NO
1987,10,14,3,1856,1850,2017,2003,PS,1496,,81,73,,14,6,OAK,SNA,371,,,0,,0,,,,,,YES,YES
2003,1,19,7,701,635,1250,1240,UA,1060,N852UA,229,245,214,10,26,SJC,ORD,1829,5,10,0,,0,,,,,,YES,YES
2003,1,29,3,1815,1820,2036,2050,UA,1066,N932UA,81,90,68,-14,-5,DEN,TUL,541,3,10,0,,0,,,,,,NO,NO
2008,1,3,4,2021,2010,2132,2135,WN,548,N791SW,71,85,54,-3,11,PHL,MHT,290,4,13,0,,0,,,,,,NO,YES
1989,1,20,5,23,2330,953,852,UA,200,,390,382,,61,53,HNL,DEN,3365,,,0,,0,,,,,,YES,YES
2000,1,19,3,1808,1755,2028,2010,WN,935,N326,80,75,66,18,13,BUR,PHX,369,2,12,0,,0,,,,,,YES,YES
2005,1,8,6,1725,1734,1910,1914,UA,557,N364UA,225,220,208,-4,-9,PIT,DEN,1290,5,12,0,,0,0,0,0,0,0,NO,NO
1990,1,29,1,1759,1750,2038,2022,US,33,,339,332,,16,9,PIT,SFO,2254,,,0,,0,,,,,,YES,YES
1999,1,13,3,855,855,1641,1644,US,104,N703UW,286,289,269,-3,0,SEA,PHL,2378,3,14,0,,0,,,,,,NO,NO
1992,1,31,5,1344,1345,1442,1444,US,88,,58,59,,-2,-1,PHL,BDL,196,,,0,,0,,,,,,NO,NO
2001,1,1,1,1455,1455,1656,1706,US,421,N894äâ,61,71,45,-10,0,BHM,CLT,351,10,6,0,,0,,,,,,NO,NO
